sampleid,field_or_museum,date_captured,method_pcr_q_pcr_histology,bd_positive,bd_load_ze_if_q_pcr,bd_its_copies,standard_strain_if_q_pcr,locality,simplified_locality,regulation_0_unreg_1_upstream_dam_2_downstream_dam,river_system_watershed,county,boylii_clade,sex_f_m_u,life_stage_a_j_m_t,svl_mm,weight_g,states,huc10,huc12,daylen_hr,capt_yr,capt_mon,noaa_clim_id,CLIMDIV,climdiv_name,pcpn_noaa,pdsi_noaa,phdi_noaa,pmdi_noaa,tmax_noaa,tmin_noaa,tmpc_noaa,spei12,spei24,areasqkm,areaacres,h12_name,hutype,humod,tohuc,NAME_HUC12,ECOREGION2013L3_1STCODE,STATE_MAJ_2013,N_INDEX_CDLNLCD11_PCT_WS,N_INDEX2_CDLNLCD11_PCT_WS,N_INDEX_CDLNLCD11_PCT_HAZ,N_INDEX2_CDLNLCD11_PCT_HAZ,DASYMETRIC_POPULATION_DEN_RZ,DASYMETRIC_POPULATION_DEN_WS,MINET_DEN,AG_HYDRIC_PCT_WS,DAM_STORAGE_RATIO,PCT_FOREST_REMAIN,PCT_WETLANDS_REMAINING,PCT_IMPERVIOUSNESS2011_MEAN_WS,ROAD_2015_STRM_X_DENS_WS,DAM_DENSITY_PER_KM_STRM,DITCH_DRAINAGE_WS_PCT,ROADS_ALL_DENSITY_2014_RZ,CROP_MH_URB_CDLNLCD11_PCT_RZ,NFHP15_HCI_LOCAL_WS,NRSA_AQUATIC_COND_MEAN,NRSA_AQUATIC_COND_OUTLET,STREAMLGTH_SUP_IMP_DIFF_PCTA,WBAREA_SUP_IMP_DIFF_PCTA,U_INDEX_CHG_2001_11_PCT_WS,U_INDEX2_CHG_2001_11_PCT_WS,U_INDEX_CHG_2001_11_PCT_RZ,U_INDEX2_CHG_2001_11_PCT_RZ,ICLUS_IC_DIFF_PCT,GAP_PROT_1_2_PCT_WS,AG_H2O_USE_05_WS,DOM_H2O_USE_MGD_2005_WS,IND_H2O_USE_MGD_WS,MEAN_WILDFIRE_RISK,HVH_WILDFIRE_RISK_PCT,elevation,elev_units,geomorph_name,comid
26616,Museum,6/24/1964,qPCR,0,NA,NA,NA,Elliot Creek; Rogue River Natl. forest; 25 mi. SW Medford Oregon,Elliot,2,Rogue,Siskiyou,N. Coast,NA,NA,NA,NA,"CA,OR",1710030901,1.71003E+11,15.23831737,1964,6,401011964,401,NORTH COAST DRAINAGE,1.31,-1.71,-1.71,-1.26,70.7,46.5,58.6,0.012226077,1.045662165,78.75,19459.98,Dutch Creek-Elliott Creek,S,NM,1.71003E+11,Dutch Creek-Elliott Creek,78,CA,100,99.99314231,14.64688604,14.64688604,0,0.06,0,0,0,98.02290951,NA,0,1.1049,0,0,2.18,0,4.96,81.35619281,76.76666667,NA,NA,0,0,0,0,0,82.9049004,0,5.48E-04,0,3.99,77,718.35,meters,Klamath Mountains,17694811
91143,Museum,3/21/1967,qPCR,0,NA,NA,NA,7.7 mi. NW of Wildwood,"?Salt Creek, Trib to Hayfork Creek?",NA,Trinity,Trinity,N. Coast,NA,NA,NA,NA,CA,1801021203,1.80102E+11,12.13668511,1967,3,401011967,401,NORTH COAST DRAINAGE,8.61,0.55,0.55,0.55,49.9,32.8,41.3,-0.061594862,-0.114425085,149.16,36859.26,Salt Creek,S,PD,1.80102E+11,Salt Creek,78,CA,95.01393901,94.97592353,19.26358601,19.25936206,0,1.11,0,0,0,75.37231742,37.69881871,0.118,1.2873,0,0,2.55,0.022929967,4.65,73.80960172,55.3,-100,NA,0,0,0,0,0,0,0,0.015136,0.12235,3.88,65,760.63,meters,Klamath Mountains,17694811
91144,Museum,3/21/1967,qPCR,0,NA,NA,NA,7.7 mi. NW of Wildwood,"?Salt Creek, Trib to Hayfork Creek?",NA,Trinity,Trinity,N. Coast,NA,NA,NA,NA,CA,1801021203,1.80102E+11,12.13668511,1967,3,401011967,401,NORTH COAST DRAINAGE,8.61,0.55,0.55,0.55,49.9,32.8,41.3,-0.061594862,-0.114425085,149.16,36859.26,Salt Creek,S,PD,1.80102E+11,Salt Creek,78,CA,95.01393901,94.97592353,19.26358601,19.25936206,0,1.11,0,0,0,75.37231742,37.69881871,0.118,1.2873,0,0,2.55,0.022929967,4.65,73.80960172,55.3,-100,NA,0,0,0,0,0,0,0,0.015136,0.12235,3.88,65,760.63,meters,Klamath Mountains,17694825
91145,Museum,3/21/1967,qPCR,0,NA,NA,NA,7.7 mi. NW of Wildwood,"?Salt Creek, Trib to Hayfork Creek?",NA,Trinity,Trinity,N. Coast,NA,NA,NA,NA,CA,1801021203,1.80102E+11,12.13668511,1967,3,401011967,401,NORTH COAST DRAINAGE,8.61,0.55,0.55,0.55,49.9,32.8,41.3,-0.061594862,-0.114425085,149.16,36859.26,Salt Creek,S,PD,1.80102E+11,Salt Creek,78,CA,95.01393901,94.97592353,19.26358601,19.25936206,0,1.11,0,0,0,75.37231742,37.69881871,0.118,1.2873,0,0,2.55,0.022929967,4.65,73.80960172,55.3,-100,NA,0,0,0,0,0,0,0,0.015136,0.12235,3.88,65,760.63,meters,Klamath Mountains,17694825
91146,Museum,3/21/1967,qPCR,0,NA,NA,NA,7.7 mi. NW of Wildwood,"?Salt Creek, Trib to Hayfork Creek?",NA,Trinity,Trinity,N. Coast,NA,NA,NA,NA,CA,1801021203,1.80102E+11,12.13668511,1967,3,401011967,401,NORTH COAST DRAINAGE,8.61,0.55,0.55,0.55,49.9,32.8,41.3,-0.061594862,-0.114425085,149.16,36859.26,Salt Creek,S,PD,1.80102E+11,Salt Creek,78,CA,95.01393901,94.97592353,19.26358601,19.25936206,0,1.11,0,0,0,75.37231742,37.69881871,0.118,1.2873,0,0,2.55,0.022929967,4.65,73.80960172,55.3,-100,NA,0,0,0,0,0,0,0,0.015136,0.12235,3.88,65,760.63,meters,Klamath Mountains,17694825
91147,Museum,3/21/1967,qPCR,0,NA,NA,NA,7.7 mi. NW of Wildwood,"?Salt Creek, Trib to Hayfork Creek?",NA,Trinity,Trinity,N. Coast,NA,NA,NA,NA,CA,1801021203,1.80102E+11,12.13668511,1967,3,401011967,401,NORTH COAST DRAINAGE,8.61,0.55,0.55,0.55,49.9,32.8,41.3,-0.061594862,-0.114425085,149.16,36859.26,Salt Creek,S,PD,1.80102E+11,Salt Creek,78,CA,95.01393901,94.97592353,19.26358601,19.25936206,0,1.11,0,0,0,75.37231742,37.69881871,0.118,1.2873,0,0,2.55,0.022929967,4.65,73.80960172,55.3,-100,NA,0,0,0,0,0,0,0,0.015136,0.12235,3.88,65,760.63,meters,Klamath Mountains,17694825
138518,Museum,3/21/1967,qPCR,0,NA,NA,NA,7.7 mi NW Wildwood,"?Salt Creek, Trib to Hayfork Creek?",NA,Trinity,Trinity,N. Coast,NA,NA,NA,NA,CA,1801021203,1.80102E+11,12.13668511,1967,3,401011967,401,NORTH COAST DRAINAGE,8.61,0.55,0.55,0.55,49.9,32.8,41.3,-0.061594862,-0.114425085,149.16,36859.26,Salt Creek,S,PD,1.80102E+11,Salt Creek,78,CA,95.01393901,94.97592353,19.26358601,19.25936206,0,1.11,0,0,0,75.37231742,37.69881871,0.118,1.2873,0,0,2.55,0.022929967,4.65,73.80960172,55.3,-100,NA,0,0,0,0,0,0,0,0.015136,0.12235,3.88,65,760.63,meters,Klamath Mountains,17694825
CAS10664,Museum,6/18/1951,histology,0,NA,NA,NA,"San Benito River, 9 mi N of Pinacles Post Office",San Benito,0,San Benito,San Benito,C. Coast,NA,NA,NA,NA,CA,1806000207,1.806E+11,14.66199292,1951,6,404011951,404,CENTRAL COAST DRNG.,0.02,0.25,-0.75,-0.1,76.8,49.9,63.3,-0.603397965,-0.827094197,137.5,33976.3,Paicines Reservoir-San Benito River,S,NM,1.806E+11,Paicines Reservoir-San Benito River,6,CA,82.31186103,82.09587266,19.62548925,19.60650845,2.2,1.48,0.0073,3.2,0.087134567,9.405627168,7.457081545,0.309,2.938,0.00825423,0,2.98,2.470121608,4.69,NA,NA,-100,NA,0,0,0,0,0.23,0,0.999300001,0.017822,0,3.82,51,249.58,meters,Coast Ranges,17694825
CAS10667,Museum,6/18/1951,histology,0,NA,NA,NA,"San Benito River, 9 mi N of Pinacles Post Office",San Benito,0,San Benito,San Benito,C. Coast,NA,NA,NA,NA,CA,1806000207,1.806E+11,14.66199292,1951,6,404011951,404,CENTRAL COAST DRNG.,0.02,0.25,-0.75,-0.1,76.8,49.9,63.3,-0.603397965,-0.827094197,137.5,33976.3,Paicines Reservoir-San Benito River,S,NM,1.806E+11,Paicines Reservoir-San Benito River,6,CA,82.31186103,82.09587266,19.62548925,19.60650845,2.2,1.48,0.0073,3.2,0.087134567,9.405627168,7.457081545,0.309,2.938,0.00825423,0,2.98,2.470121608,4.69,NA,NA,-100,NA,0,0,0,0,0.23,0,0.999300001,0.017822,0,3.82,51,249.58,meters,Coast Ranges,17694825
CAS10669,Museum,6/18/1951,histology,0,NA,NA,NA,"San Benito River, 9 mi N of Pinacles Post Office",San Benito,0,San Benito,San Benito,C. Coast,NA,NA,NA,NA,CA,1806000207,1.806E+11,14.66199292,1951,6,404011951,404,CENTRAL COAST DRNG.,0.02,0.25,-0.75,-0.1,76.8,49.9,63.3,-0.603397965,-0.827094197,137.5,33976.3,Paicines Reservoir-San Benito River,S,NM,1.806E+11,Paicines Reservoir-San Benito River,6,CA,82.31186103,82.09587266,19.62548925,19.60650845,2.2,1.48,0.0073,3.2,0.087134567,9.405627168,7.457081545,0.309,2.938,0.00825423,0,2.98,2.470121608,4.69,NA,NA,-100,NA,0,0,0,0,0.23,0,0.999300001,0.017822,0,3.82,51,249.58,meters,Coast Ranges,17694825
CAS11065,Museum,5/1/1905,histology,0,NA,NA,NA,"San Benito Rd, 7.5 mi S of Bitterwater Rd",Lewis Creek,0,Salinas,San Benito,C. Coast,NA,NA,NA,NA,CA,1806000512,1.806E+11,13.64947171,1905,5,404011905,404,CENTRAL COAST DRNG.,2.36,2.97,2.97,2.97,68.6,41.4,55,0.746690691,0.225017935,101.8,25155.09,Topo Creek,S,NM,1.806E+11,Topo Creek,6,CA,91.0524175,88.53588229,14.55629045,14.39447529,0.85,0.34,0,0.22,0,12.44672446,NA,0.1,2.0337,0,0,3.31,0.319209139,4.95,NA,NA,NA,NA,0,0.03,0,0,0.01,0,0,0.003077,0,3.58,41,452.1,meters,Coast Ranges,17694825
CAS13188,Museum,6/27/1906,histology,0,NA,NA,NA,"St. Helena, maybe York Ck?",St. Helena,NA,Napa River,Napa,N. Coast,NA,NA,NA,NA,CA,1805000202,1.805E+11,14.84559773,1906,6,401011906,401,NORTH COAST DRAINAGE,2.3,3.2,3.2,3.2,68.3,45.5,56.9,0.718955636,0.919246018,156.15,38586.03,Middle Napa River,S,NM,1.805E+11,Middle Napa River,6,CA,67.63337925,67.42359186,13.22755592,13.10767741,30.61,63.87,0,1.279999999,0.028754574,50.92310508,14.70425267,2.486,1.5689,0.008790436,5.1,1.93,5.328830205,4.46,45.9699704,18.83333333,-100,NA,0.15,0.27,0.04,0.05,0.15,0,3.714766995,0.860675,0.110592,3.82,60,66.84,meters,Northern Coastline SubProvince,17694825
CAS13189,Museum,6/28/1906,histology,0,NA,NA,NA,"St. Helena, maybe York Ck?",St. Helena,NA,Napa River,Napa,N. Coast,NA,NA,NA,NA,CA,1805000202,1.805E+11,14.84044803,1906,6,401011906,401,NORTH COAST DRAINAGE,2.3,3.2,3.2,3.2,68.3,45.5,56.9,0.718955636,0.919246018,156.15,38586.03,Middle Napa River,S,NM,1.805E+11,Middle Napa River,6,CA,67.63337925,67.42359186,13.22755592,13.10767741,30.61,63.87,0,1.279999999,0.028754574,50.92310508,14.70425267,2.486,1.5689,0.008790436,5.1,1.93,5.328830205,4.46,45.9699704,18.83333333,-100,NA,0.15,0.27,0.04,0.05,0.15,0,3.714766995,0.860675,0.110592,3.82,60,66.84,meters,Northern Coastline SubProvince,17694825
CAS13286,Museum,2/9/1907,histology,0,NA,NA,NA,Stanford Campus,Stanford,1,San Francisquito Creek,Santa Clara,C. Coast,NA,NA,NA,NA,CA,1805000304,1.805E+11,10.57778046,1907,2,404011907,404,CENTRAL COAST DRNG.,2,4.47,4.47,3.86,60.9,42.1,51.5,1.325062871,1.05208087,77.43,19132.2,Adobe Creek-Frontal San Francisco Bay Estuaries,F,"OT,LE,UA,AD",1.805E+11,Adobe Creek-Frontal San Francisco Bay Estuaries,6,CA,24.97791622,24.97791622,4.693384165,4.693384165,0,1259.58,0,0,0,41.96728658,4.696311362,25.636,5.0754,0,0,10.97,2.9394672,2.93,NA,NA,-100,NA,0,0,0,0,2.49,0,0,7.896154,0.009888,2.99,14,27.86,meters,Northern Coastline SubProvince,17694825
CAS145539,Museum,8/20/1956,histology,0,NA,NA,NA,"Forsythe Creek, Reeves Canyon",NA,0,Russian,Mendocino,N. Coast,NA,NA,NA,NA,CA,1801011002,1.80101E+11,13.52932298,1956,8,401011956,401,NORTH COAST DRAINAGE,0.1,0.37,1.35,0.17,79.6,50.6,65.1,1.193743706,0.320336938,124.98,30882.74,Forsythe Creek,S,NM,1.80101E+11,Forsythe Creek,78,CA,94.59710521,94.54813855,18.63397422,18.62893353,17.19,13.81,0.008,0.06,0.00323484,55.09213596,24.05656499,0.545,1.3362,0.010094892,0,2.93,0.08353136,4.59,58.33834643,NA,-100,-100,0,0.01,0,0,0,0.205200001,0,0.143009,0.001615,4.01,60,207.86,meters,Coast Ranges,17694825
CAS1570,Museum,3/20/1905,histology,0,NA,NA,NA,n/a,San Francisco,NA,n/a,San Francisco,C. Coast,NA,NA,NA,NA,CA,1805000602,1.805E+11,12.0912122,1905,3,404011905,404,CENTRAL COAST DRNG.,5.08,1.84,1.84,1.2,62.6,42,52.3,0.589680254,0.716872394,213.39,52730.63,San Pedro Creek-Frontal Pacific Ocean,F,"TF,UA",OCEAN,San Pedro Creek-Frontal Pacific Ocean,6,CA,12.39835684,11.91038532,2.400212565,1.914349821,701.34,3001.45,0,3.79E-05,0,30.73576143,17.23704076,12.479,0.7826,0,0,0.55,0.752412443,3.85,53.20398251,NA,-100,-100,0.03,0.03,0,0,0.49,4.224593959,0,14.808531,0.092936373,2.43,4,54.94,meters,Northern Coastline SubProvince,17694811
CAS157107,Museum,8/25/1984,histology,0,NA,NA,NA,DelPuerto Creek,DelPuerto,0,San Joaquin,Stanislaus,C. Coast,NA,NA,NA,NA,CA,1804000203,1.804E+11,13.25296867,1984,8,405011984,405,SAN JOAQUIN DRNG.,0.25,-1.85,1.08,-1.47,89.1,59.9,74.5,-0.922341287,1.84907949,94.46,23341.43,Upper Del Puerto Creek,S,NM,1.804E+11,Upper Del Puerto Creek,6,CA,99.11014567,99.09680739,23.8641019,23.85076362,0.43,0.14,0,0,0,59.64504029,15.25899464,0.058,1.5455,0,0,0.81,0.007621879,4.9,63.06490436,68.46666667,NA,NA,0,0,0,0,0.02,0,0,0.00192,0,3.94,62,419.32,meters,Coast Ranges,17694871
CAS157108,Museum,8/25/1984,histology,0,NA,NA,NA,DelPuerto Creek,DelPuerto,0,San Joaquin,Stanislaus,C. Coast,NA,NA,NA,NA,CA,1804000203,1.804E+11,13.25296867,1984,8,405011984,405,SAN JOAQUIN DRNG.,0.25,-1.85,1.08,-1.47,89.1,59.9,74.5,-0.922341287,1.84907949,94.46,23341.43,Upper Del Puerto Creek,S,NM,1.804E+11,Upper Del Puerto Creek,6,CA,99.11014567,99.09680739,23.8641019,23.85076362,0.43,0.14,0,0,0,59.64504029,15.25899464,0.058,1.5455,0,0,0.81,0.007621879,4.9,63.06490436,68.46666667,NA,NA,0,0,0,0,0.02,0,0,0.00192,0,3.94,62,419.32,meters,Coast Ranges,17694871
CAS1584,Museum,1897-06-22,histology,0,NA,NA,NA,"Albion River, 2 mi below Comptche",Albion,0,Albion,Mendocino,N. Coast,NA,NA,NA,NA,CA,1801010808,1.80101E+11,14.93686757,1897,6,401011897,401,NORTH COAST DRAINAGE,1.72,-0.64,1.02,-0.08,71.2,47,59.1,0.909103453,0.948845387,110.51,27308.14,Albion River,S,NM,1.80101E+11,Albion River,1,CA,94.77752348,94.73028336,23.95969929,23.94666754,0,9.12,0,0.959999999,0,87.72870792,1.207359141,0.17,1.6833,0,0.1,3.52,0.033393877,4.68,56.91738909,NA,-100,-100,0,0.05,0,0.01,0,0,0,0.080686,0.001292,3.43,46,50.52,meters,Coast Ranges,17694871
CAS1586,Museum,1897-06-22,histology,0,NA,NA,NA,"Albion River, 2 mi below Comptche",Albion,0,Albion,Mendocino,N. Coast,NA,NA,NA,NA,CA,1801010808,1.80101E+11,14.93686757,1897,6,401011897,401,NORTH COAST DRAINAGE,1.72,-0.64,1.02,-0.08,71.2,47,59.1,0.909103453,0.948845387,110.51,27308.14,Albion River,S,NM,1.80101E+11,Albion River,1,CA,94.77752348,94.73028336,23.95969929,23.94666754,0,9.12,0,0.959999999,0,87.72870792,1.207359141,0.17,1.6833,0,0.1,3.52,0.033393877,4.68,56.91738909,NA,-100,-100,0,0.05,0,0.01,0,0,0,0.080686,0.001292,3.43,46,50.52,meters,Coast Ranges,17694871
CAS1588,Museum,1897-06-22,histology,0,NA,NA,NA,"Albion River, 2 mi below Comptche",Albion,0,Albion,Mendocino,N. Coast,NA,NA,NA,NA,CA,1801010808,1.80101E+11,14.93686757,1897,6,401011897,401,NORTH COAST DRAINAGE,1.72,-0.64,1.02,-0.08,71.2,47,59.1,0.909103453,0.948845387,110.51,27308.14,Albion River,S,NM,1.80101E+11,Albion River,1,CA,94.77752348,94.73028336,23.95969929,23.94666754,0,9.12,0,0.959999999,0,87.72870792,1.207359141,0.17,1.6833,0,0.1,3.52,0.033393877,4.68,56.91738909,NA,-100,-100,0,0.05,0,0.01,0,0,0,0.080686,0.001292,3.43,46,50.52,meters,Coast Ranges,17694871
