id_code_in_source_dataset,entered_by,source_of_data_literature_contact,contact_person_or_citation,species_genus_sp,field_or_museum,date_captured,month_captured,month_number,method_pcr_q_pcr_histology,bd_positive_blank_or_1,bd_negative_blank_or_1,bd_load_ze_if_q_pcr,standard_strain_if_q_pcr,notes_on_methods,locality,simplified_locality,regulation_0_none_1_dam_upstream_or_2_dam_or_reservoir_downstream,river_system_watershed,county,boylii_clade,location_moved_1_if_yes,dubious_location_1_if_yes,note_on_location,palmer_z_index,phdi,pdsi,sex_f_m_u,life_stage_a_j_m_t,svl_mm,weight_g,notes,recap_y_n,identifier_if_recap,does_local_population_density_data_exist_for_this_site_y_n,utm_easting,utm_northing,ct,monthly_average_precip
CAS1588,SJK,Gretchen Padgett-Flohr/literature,gretchen.flohr@s2serm.com,Rana boylii,Museum,1897-06-22,June,6,histology,NA,1,NULL,NA,NA,"Albion River, 2 mi below Comptche",Albion,0,Albion,Mendocino,NNC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,446103,4346028,NA,NA
CAS1589,SJK,Gretchen Padgett-Flohr/literature,gretchen.flohr@s2serm.com,Rana boylii,Museum,1897-06-22,June,6,histology,NA,1,NULL,NA,NA,"Albion River, 2 mi below Comptche",Albion,0,Albion,Mendocino,NNC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,446103,4346028,NA,NA
CAS159503,SJK,Gretchen Padgett-Flohr/literature,gretchen.flohr@s2serm.com,Rana boylii,Museum,9/3/1948,September,9,histology,NA,1,NULL,NA,NA,"Santa Rosa Creek, 0.75 mi SE of Cambria",SantaRosa,0,Santa Rosa,San Luis Obispo,SW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,674840,3937681,NA,NA
CAS159504,SJK,Gretchen Padgett-Flohr/literature,gretchen.flohr@s2serm.com,Rana boylii,Museum,9/3/1948,September,9,histology,NA,1,NULL,NA,NA,"Santa Rosa Creek, 0.75 mi SE of Cambria",SantaRosa,0,Santa Rosa,San Luis Obispo,SW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,674840,3937681,NA,NA
CAS162077,SJK,Gretchen Padgett-Flohr/literature,gretchen.flohr@s2serm.com,Rana boylii,Museum,12/21/1986,December,12,histology,1,NA,NULL,NA,NA,Del Puerto Creek in Frank Raines Park,DelPuerto,0,San Joaquin,Stanislaus,WC,NA,NA,NA,NA,NA,NA,M,A,41,NA,NA,NA,NA,NA,644112,4142772,NA,NA
CAS162078,SJK,Gretchen Padgett-Flohr/literature,gretchen.flohr@s2serm.com,Rana boylii,Museum,12/21/1986,December,12,histology,1,NA,NULL,NA,NA,Del Puerto Creek in Frank Raines Park,DelPuerto,0,San Joaquin,Stanislaus,WC,NA,NA,NA,NA,NA,NA,F,A,40.5,NA,NA,NA,NA,NA,644112,4142772,NA,NA
CAS162079,SJK,Gretchen Padgett-Flohr/literature,gretchen.flohr@s2serm.com,Rana boylii,Museum,12/21/1986,December,12,histology,1,NA,NULL,NA,NA,Del Puerto Creek in Frank Raines Park,DelPuerto,0,San Joaquin,Stanislaus,WC,NA,NA,NA,NA,NA,NA,M,A,36,NA,NA,NA,NA,NA,644112,4142772,NA,NA
CAS162080,SJK,Gretchen Padgett-Flohr/literature,gretchen.flohr@s2serm.com,Rana boylii,Museum,12/21/1986,December,12,histology,1,NA,NULL,NA,NA,Del Puerto Creek in Frank Raines Park,DelPuerto,0,San Joaquin,Stanislaus,WC,NA,NA,NA,NA,NA,NA,F,A,37.5,NA,NA,NA,NA,NA,644112,4142772,NA,NA
CAS162081,SJK,Gretchen Padgett-Flohr/literature,gretchen.flohr@s2serm.com,Rana boylii,Museum,12/21/1986,December,12,histology,1,NA,NULL,NA,NA,Del Puerto Creek in Frank Raines Park,DelPuerto,0,San Joaquin,Stanislaus,WC,NA,NA,NA,NA,NA,NA,F,A,39,NA,NA,NA,NA,NA,644112,4142772,NA,NA
CAS162082,SJK,Gretchen Padgett-Flohr/literature,gretchen.flohr@s2serm.com,Rana boylii,Museum,12/21/1986,December,12,histology,1,NA,NULL,NA,NA,Del Puerto Creek in Frank Raines Park,DelPuerto,0,San Joaquin,Stanislaus,WC,NA,NA,NA,NA,NA,NA,M,A,42,NA,NA,NA,NA,NA,644112,4142772,NA,NA
CAS162083,SJK,Gretchen Padgett-Flohr/literature,gretchen.flohr@s2serm.com,Rana boylii,Museum,12/21/1986,December,12,histology,1,NA,NULL,NA,NA,Del Puerto Creek in Frank Raines Park,DelPuerto,0,San Joaquin,Stanislaus,WC,NA,NA,NA,NA,NA,NA,M,A,30,NA,NA,NA,NA,NA,644112,4142772,NA,NA
CAS173684,SJK,Gretchen Padgett-Flohr/literature,gretchen.flohr@s2serm.com,Rana boylii,Museum,7/23/1989,July,7,histology,NA,1,NULL,NA,NA,"Capell Ck, west of Lake Berryessa",Cappell,2,Putah,Napa,NNC,NA,NA,NA,NA,NA,NA,M,A,NA,NA,NA,NA,NA,NA,565986,4260144,NA,NA
CAS173685,SJK,Gretchen Padgett-Flohr/literature,gretchen.flohr@s2serm.com,Rana boylii,Museum,8/27/1989,August,8,histology,1,NA,NULL,NA,NA,Copeland Creek,Copeland,0,Russian,Sonoma,NNC,NA,NA,NA,NA,NA,NA,U,J,33,NA,NA,NA,NA,Y,533581,4242920,NA,NA
CAS173732,SJK,Gretchen Padgett-Flohr/literature,gretchen.flohr@s2serm.com,Rana boylii,Museum,10/8/1988,October,10,histology,NA,1,NULL,NA,NA,"Eticuera Creek, Berryessa-Knoxville Rd, 4.2 mi N of Lake Berryessa",Eticuera,2,Putah,Napa,NNC,NA,NA,NA,NA,NA,NA,U,J,22,NA,NA,NA,NA,NA,563508,4287070,NA,NA
CAS175017,SJK,Gretchen Padgett-Flohr/literature,gretchen.flohr@s2serm.com,Rana boylii,Museum,5/12/1990,May,5,histology,NA,1,NULL,NA,NA,"Clear Creek, ca 2 mi SE of Hernandez",Clear,2,San Benito,San Benito,WC,NA,NA,NA,NA,NA,NA,F,A,46,NA,NA,NA,NA,NA,701664,4026843,NA,NA
CAS17812,SJK,Gretchen Padgett-Flohr/literature,gretchen.flohr@s2serm.com,Rana boylii,Museum,5/16/1909,May,5,histology,NA,1,NULL,NA,NA,Redwood Peak California Contra Costa Side,Redwood,2,San Leandro Creek,Contra Costa,WC,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,572517,4185933,NA,NA
CAS178883,SJK,Gretchen Padgett-Flohr/literature,gretchen.flohr@s2serm.com,Rana boylii,Museum,5/19/1991,May,5,histology,NA,1,NULL,NA,NA,"Poor Man's Creek, esast end of PoorMan's Valley",MFEeltrib,0,Eel,Mendocino,NNC,NA,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,487303,4407996,NA,NA
CAS178885,SJK,Gretchen Padgett-Flohr/literature,gretchen.flohr@s2serm.com,Rana boylii,Museum,6/23/1991,June,6,histology,NA,1,NULL,NA,NA,Middle Fork Eel 6 mi east of Covelo,MF Eel,0,Eel,Mendocino,NNC,NA,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,488264,4406967,NA,NA
CAS17921,SJK,Gretchen Padgett-Flohr/literature,gretchen.flohr@s2serm.com,Rana boylii,Museum,3/21/1957,March,3,histology,NA,1,NULL,NA,NA,Pepperwood Creek,Pepperwood,0,Gualala,Sonoma,NNC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,484051,4274853,NA,NA
CAS17922,SJK,Gretchen Padgett-Flohr/literature,gretchen.flohr@s2serm.com,Rana boylii,Museum,3/21/1957,March,3,histology,NA,1,NULL,NA,NA,Pepperwood Creek,Pepperwood,0,Gualala,Sonoma,NNC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,484051,4274853,NA,NA
CAS17923,SJK,Gretchen Padgett-Flohr/literature,gretchen.flohr@s2serm.com,Rana boylii,Museum,3/21/1957,March,3,histology,NA,1,NULL,NA,NA,Pepperwood Creek,Pepperwood,0,Gualala,Sonoma,NNC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,484051,4274853,NA,NA
CAS17930,SJK,Gretchen Padgett-Flohr/literature,gretchen.flohr@s2serm.com,Rana boylii,Museum,3/21/1957,March,3,histology,NA,1,NULL,NA,NA,Pepperwood Creek,Pepperwood,0,Gualala,Sonoma,NNC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,484051,4274853,NA,NA
CAS17931,SJK,Gretchen Padgett-Flohr/literature,gretchen.flohr@s2serm.com,Rana boylii,Museum,3/21/1957,March,3,histology,NA,1,NULL,NA,NA,Pepperwood Creek,Pepperwood,0,Gualala,Sonoma,NNC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,484051,4274853,NA,NA
CAS17932,SJK,Gretchen Padgett-Flohr/literature,gretchen.flohr@s2serm.com,Rana boylii,Museum,3/21/1957,March,3,histology,NA,1,NULL,NA,NA,Pepperwood Creek,Pepperwood,0,Gualala,Sonoma,NNC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,484051,4274853,NA,NA
CAS17984,SJK,Gretchen Padgett-Flohr/literature,gretchen.flohr@s2serm.com,Rana boylii,Museum,3/12/1957,March,3,histology,NA,1,NULL,NA,NA,Pepperwood Creek,Pepperwood,0,Gualala,Sonoma,NNC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,484051,4274853,NA,NA
CAS17985,SJK,Gretchen Padgett-Flohr/literature,gretchen.flohr@s2serm.com,Rana boylii,Museum,3/19/1957,March,3,histology,NA,1,NULL,NA,NA,Pepperwood Creek,Pepperwood,0,Gualala,Sonoma,NNC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,484051,4274853,NA,NA
CAS17986,SJK,Gretchen Padgett-Flohr/literature,gretchen.flohr@s2serm.com,Rana boylii,Museum,3/21/1957,March,3,histology,NA,1,NULL,NA,NA,Pepperwood Creek,Pepperwood,0,Gualala,Sonoma,NNC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,484051,4274853,NA,NA
CAS181273,SJK,Gretchen Padgett-Flohr/literature,gretchen.flohr@s2serm.com,Rana boylii,Museum,4/11/1960,April,4,histology,NA,1,NULL,NA,NA,Santa Cruz Creek near Santa Cruz Guard Station (US Forest Service),SantaCruz,2,Santa Ynez,Santa Barbara,SW,NA,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,246772,3835619,NA,NA
CAS181274,SJK,Gretchen Padgett-Flohr/literature,gretchen.flohr@s2serm.com,Rana boylii,Museum,4/11/1960,April,4,histology,NA,1,NULL,NA,NA,Santa Cruz Creek near Santa Cruz Guard Station (US Forest Service),SantaCruz,2,Santa Ynez,Santa Barbara,SW,NA,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,246772,3835619,NA,NA
CAS185330,SJK,Gretchen Padgett-Flohr/literature,gretchen.flohr@s2serm.com,Rana boylii,Museum,7/4/1992,July,7,histology,NA,1,NULL,NA,NA,"Beaver Ck, MNF",MFEeltrib,0,Eel,Mendocino,NNC,NA,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,500040,4420805,NA,NA
CAS186226,SJK,Gretchen Padgett-Flohr/literature,gretchen.flohr@s2serm.com,Rana boylii,Museum,8/29/1992,August,8,histology,NA,1,NULL,NA,NA,"Buck Rock Creek, MNF",MFEeltrib,0,Eel,Mendocino,NNC,NA,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,500443,4420402,NA,NA
CAS186582,SJK,Gretchen Padgett-Flohr/literature,gretchen.flohr@s2serm.com,Rana boylii,Museum,10/26/1992,October,10,histology,NA,1,NULL,NA,NA,"Sulphur Creek, 2.5. mi US of confl with Smith Ck",Sulphur,0,Alameda,Santa Clara,WC,1,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,621986,4129683,NA,NA
CAS188213,SJK,Gretchen Padgett-Flohr/literature,gretchen.flohr@s2serm.com,Rana boylii,Museum,2/25/1939,February,2,histology,NA,1,NULL,NA,NA,Stevens Creek,NA,1,Stevens Creek,Santa Clara,WC,NA,NA,NA,NA,NA,NA,NA,J/A,NA,NA,life stage listed as J/A,NA,NA,NA,582317,4129306,NA,NA
CAS188214,SJK,Gretchen Padgett-Flohr/literature,gretchen.flohr@s2serm.com,Rana boylii,Museum,5/12/1950,May,5,histology,NA,1,NULL,NA,NA,Almaden Creek,Almaden,1,Guadalupe,Santa Clara,WC,NA,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,618087,4129633,NA,NA
CAS188215,SJK,Gretchen Padgett-Flohr/literature,gretchen.flohr@s2serm.com,Rana boylii,Museum,5/17/1950,May,5,histology,NA,1,NULL,NA,NA,Smith Creek nr fire station,Smith,0,Alameda,Santa Clara,WC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,618087,4129633,NA,NA
CAS188216,SJK,Gretchen Padgett-Flohr/literature,gretchen.flohr@s2serm.com,Rana boylii,Museum,2/25/1939,February,2,histology,NA,1,NULL,NA,NA,Stevens Creek,NA,1,Stevens Creek,Santa Clara,WC,NA,NA,NA,NA,NA,NA,NA,J,NA,NA,NA,NA,NA,NA,582317,4129306,NA,NA
CAS188221,SJK,Gretchen Padgett-Flohr/literature,gretchen.flohr@s2serm.com,Rana boylii,Museum,9/26/1959,September,9,histology,NA,1,NULL,NA,NA,"Penitencia Creek, Alum Rock Park",Penitencia,1,Coyote,Santa Clara,WC,1,NA,"not in stream channle, on a road",NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,606098,4139555,NA,NA
CAS188222,SJK,Gretchen Padgett-Flohr/literature,gretchen.flohr@s2serm.com,Rana boylii,Museum,9/26/1959,September,9,histology,NA,1,NULL,NA,NA,"Penitencia Creek, Alum Rock Park",Penitencia,1,Coyote,Santa Clara,WC,1,NA,"not in stream channle, on a road",NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,606098,4139555,NA,NA
CAS188224,SJK,Gretchen Padgett-Flohr/literature,gretchen.flohr@s2serm.com,Rana boylii,Museum,4/12/1986,April,4,histology,1,NA,NULL,NA,NA,Laguna Creek at Coalinga Road,Laguna,2,San Benito,San Benito,WC,NA,NA,NA,NA,NA,NA,U,J,NA,NA,NA,NA,NA,NA,693752,4026938,NA,NA
CAS188226,SJK,Gretchen Padgett-Flohr/literature,gretchen.flohr@s2serm.com,Rana boylii,Museum,4/13/1986,April,4,histology,NA,1,NULL,NA,NA,"Colorado Creek, Blackbird Valley",Colorado,0,Alameda,Santa Clara,WC,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,632523,4143294,NA,NA
CAS188229,SJK,Gretchen Padgett-Flohr/literature,gretchen.flohr@s2serm.com,Rana boylii,Museum,9/12/1986,September,9,histology,NA,1,NULL,NA,NA,"Llagas Creek, 0.25 mi us of inflow to Chesbro Reservoir",Llagas,2,Pajaro,Santa Clara,WC,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,614268,4110395,NA,NA
CAS188231,SJK,Gretchen Padgett-Flohr/literature,gretchen.flohr@s2serm.com,Rana boylii,Museum,10/25/1986,October,10,histology,1,NA,NULL,NA,NA,"Poverty Flat, Henry Coe SP",MFCoyote,0,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,U,J,NA,NA,NA,NA,NA,NA,632906,4116012,NA,NA
CAS188232,SJK,Gretchen Padgett-Flohr/literature,gretchen.flohr@s2serm.com,Rana boylii,Museum,10/25/1986,October,10,histology,NA,1,NULL,NA,NA,"Poverty Flat, Henry Coe SP",MFCoyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,U,J,NA,NA,NA,NA,NA,NA,632906,4116012,NA,NA
