id_code_in_source_dataset,entered_by,source_of_data_literature_contact,contact_person_or_citation,species_genus_sp,field_or_museum,date_captured,month_captured,month_number,method_pcr_q_pcr_histology,bd_positive_blank_or_1,bd_negative_blank_or_1,bd_load_ze_if_q_pcr,bd_its_copies,standard_strain_if_q_pcr,notes_on_methods,locality,simplified_locality,regulation_0_unreg_1_upstream_dam_2_downstream_dam,river_system_watershed,county,boylii_clade,location_moved_1_if_yes,dubious_location_1_if_yes,note_on_location,palmer_z_index,phdi,pdsi,sex_f_m_u,life_stage_a_j_t,svl_mm,weight_g,notes,recap_y_n,identifier_if_recap,does_local_population_density_data_exist_for_this_site_y_n,utm_easting,utm_northing,ct,monthly_average_precip
4226,AMB,contact,colin.dillingham@usda.gov,Rana boylii,Field,6/18/2018,1529280000,6,qPCR,NULL,1,NULL,2411043,NA,NA,Bean Culvert to Tributary,Bean,0,Feather,Plumas,NFR,NA,NA,NA,NA,NA,NA,M,A,52,18,NA,N,9.82E+14,NA,663337,4426502,NA,NA
SKS006,AJA,literature,Adams et al. 2017 Ecosphere,Rana boylii,Field,10/6/2014,1412553600,10,qPCR,1,NULL,33769.68018,2026180.811,AAHL 98 1810/3 & CJB7,"DNA standards were provided by the Australian Animal Health Laboratory, CSIRO Livestock Industries, Victoria, Australia (isolate AAHL 98 1810/3, from Australia), or developed by MHT (isolate CJB7, from California). Standards developed by MHT were quality controlled for equivalent standard quantification to isolate AAHL 98 1810/3 prior to use in qPCR using a protocol provided by the Hyatt laboratory. The Hyatt standard Bd DNA protocol was followed precisely, and new standards were run concurrently with Hyatt standards.","Alameda, Calaveras Crk to Welch Crk",Alameda,1,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,J,25,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
SKS008,AJA,literature,Adams et al. 2017 Ecosphere,Rana boylii,Field,10/6/2014,1412553600,10,qPCR,1,NULL,32705.54932,1962332.959,AAHL 98 1810/3 & CJB7,"DNA standards were provided by the Australian Animal Health Laboratory, CSIRO Livestock Industries, Victoria, Australia (isolate AAHL 98 1810/3, from Australia), or developed by MHT (isolate CJB7, from California). Standards developed by MHT were quality controlled for equivalent standard quantification to isolate AAHL 98 1810/3 prior to use in qPCR using a protocol provided by the Hyatt laboratory. The Hyatt standard Bd DNA protocol was followed precisely, and new standards were run concurrently with Hyatt standards.","Alameda, Calaveras Crk to Welch Crk",Alameda,1,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,J,31,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
SKS081,AJA,literature,Adams et al. 2017 Ecosphere,Rana boylii,Field,4/8/2015,1428451200,4,qPCR,1,NULL,30937.45605,1856247.363,AAHL 98 1810/3 & CJB7,"DNA standards were provided by the Australian Animal Health Laboratory, CSIRO Livestock Industries, Victoria, Australia (isolate AAHL 98 1810/3, from Australia), or developed by MHT (isolate CJB7, from California). Standards developed by MHT were quality controlled for equivalent standard quantification to isolate AAHL 98 1810/3 prior to use in qPCR using a protocol provided by the Hyatt laboratory. The Hyatt standard Bd DNA protocol was followed precisely, and new standards were run concurrently with Hyatt standards.","Alameda, Regulated Below Diversion Dam",Alameda,1,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,M,A,37,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
SKS017,AJA,literature,Adams et al. 2017 Ecosphere,Rana boylii,Field,10/9/2014,1412812800,10,qPCR,1,NULL,29282.02148,1756921.289,AAHL 98 1810/3 & CJB7,"DNA standards were provided by the Australian Animal Health Laboratory, CSIRO Livestock Industries, Victoria, Australia (isolate AAHL 98 1810/3, from Australia), or developed by MHT (isolate CJB7, from California). Standards developed by MHT were quality controlled for equivalent standard quantification to isolate AAHL 98 1810/3 prior to use in qPCR using a protocol provided by the Hyatt laboratory. The Hyatt standard Bd DNA protocol was followed precisely, and new standards were run concurrently with Hyatt standards.",Arroyo Hondo,Alameda,2,Alameda,Santa Clara,WC,NA,NA,NA,NA,NA,NA,U,J,31,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
730,amb,contact,"Kleeman, Patrick M <pkleeman@usgs.gov>",Rana boylii,Field,7/16/2018,July,7,qPCR,1,NULL,NULL,1488127.86,ITS standard,NA,Fox Creek,Angelo,NA,SF Eel,Mendocino,NNC,NA,NA,using Fox Creek general lat/lon from Fox Creek Bridge,NA,NA,NA,F,NA,46,10.8,NA,NA,NULL,NA,446333,4399360,NA,NA
1270,amb,contact,"Kleeman, Patrick M <pkleeman@usgs.gov>",Rana boylii,Field,8/6/2020,August,8,qPCR,1,NULL,NULL,1434166.88,ITS standard,NA,Fox Creek,Angelo,NA,SF Eel,Mendocino,NNC,NA,NA,using Fox Creek general lat/lon from Fox Creek Bridge,NA,NA,NA,F,NA,41,6.6,NA,NA,NULL,NA,446176,4399304,NA,NA
SKS072,AJA,literature,Adams et al. 2017 Ecosphere,Rana boylii,Field,3/19/2015,1426723200,3,qPCR,1,NULL,15823.81958,949429.1748,AAHL 98 1810/3 & CJB7,"DNA standards were provided by the Australian Animal Health Laboratory, CSIRO Livestock Industries, Victoria, Australia (isolate AAHL 98 1810/3, from Australia), or developed by MHT (isolate CJB7, from California). Standards developed by MHT were quality controlled for equivalent standard quantification to isolate AAHL 98 1810/3 prior to use in qPCR using a protocol provided by the Hyatt laboratory. The Hyatt standard Bd DNA protocol was followed precisely, and new standards were run concurrently with Hyatt standards.","Alameda, Calaveras Crk to Welch Crk",Alameda,1,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,J,32,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
SK7,AJA,literature,Adams et al. 2017 Ecosphere,Rana boylii,Field,11/7/2013,1383782400,11,qPCR,1,NULL,14552.8,873168,AAHL 98 1810/3 & CJB7,"DNA standards were provided by the Australian Animal Health Laboratory, CSIRO Livestock Industries, Victoria, Australia (isolate AAHL 98 1810/3, from Australia), or developed by MHT (isolate CJB7, from California). Standards developed by MHT were quality controlled for equivalent standard quantification to isolate AAHL 98 1810/3 prior to use in qPCR using a protocol provided by the Hyatt laboratory. The Hyatt standard Bd DNA protocol was followed precisely, and new standards were run concurrently with Hyatt standards.","Alameda, Regulated Below Diversion Dam",Alameda,1,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,J,26,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
SKS089,AJA,literature,Adams et al. 2017 Ecosphere,Rana boylii,Field,4/22/2015,1429660800,4,qPCR,1,NULL,12983.16284,778989.7704,AAHL 98 1810/3 & CJB7,"DNA standards were provided by the Australian Animal Health Laboratory, CSIRO Livestock Industries, Victoria, Australia (isolate AAHL 98 1810/3, from Australia), or developed by MHT (isolate CJB7, from California). Standards developed by MHT were quality controlled for equivalent standard quantification to isolate AAHL 98 1810/3 prior to use in qPCR using a protocol provided by the Hyatt laboratory. The Hyatt standard Bd DNA protocol was followed precisely, and new standards were run concurrently with Hyatt standards.","Alameda, Regulated Below Diversion Dam",Alameda,1,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,F,A,36.8,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
SKS050,AJA,literature,Adams et al. 2017 Ecosphere,Rana boylii,Field,11/21/2014,1416528000,11,qPCR,1,NULL,11686.66992,701200.1952,AAHL 98 1810/3 & CJB7,"DNA standards were provided by the Australian Animal Health Laboratory, CSIRO Livestock Industries, Victoria, Australia (isolate AAHL 98 1810/3, from Australia), or developed by MHT (isolate CJB7, from California). Standards developed by MHT were quality controlled for equivalent standard quantification to isolate AAHL 98 1810/3 prior to use in qPCR using a protocol provided by the Hyatt laboratory. The Hyatt standard Bd DNA protocol was followed precisely, and new standards were run concurrently with Hyatt standards.","Alameda, Calaveras Crk to Welch Crk",Alameda,1,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,F,A,47.1,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
SKS060,AJA,literature,Adams et al. 2017 Ecosphere,Rana boylii,Field,11/21/2014,1416528000,11,qPCR,1,NULL,11686.66992,701200.1952,AAHL 98 1810/3 & CJB7,"DNA standards were provided by the Australian Animal Health Laboratory, CSIRO Livestock Industries, Victoria, Australia (isolate AAHL 98 1810/3, from Australia), or developed by MHT (isolate CJB7, from California). Standards developed by MHT were quality controlled for equivalent standard quantification to isolate AAHL 98 1810/3 prior to use in qPCR using a protocol provided by the Hyatt laboratory. The Hyatt standard Bd DNA protocol was followed precisely, and new standards were run concurrently with Hyatt standards.","Alameda, Calaveras Crk to Welch Crk",Alameda,1,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,M,A,36.5,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
805,amb,contact,"Kleeman, Patrick M <pkleeman@usgs.gov>",Rana boylii,Field,6/20/2018,June,6,qPCR,1,NULL,NULL,625979.11,ITS standard,NA,Fox Creek,Angelo,NA,SF Eel,Mendocino,NNC,NA,NA,using Fox Creek general lat/lon from Fox Creek Bridge,NA,NA,NA,M,NA,47,9,NA,Y,9.00043E+14,NA,445898,4399132,NA,NA
SK11,AJA,literature,Adams et al. 2017 Ecosphere,Rana boylii,Field,11/7/2013,1383782400,11,qPCR,1,NULL,7428,445680,AAHL 98 1810/3 & CJB7,"DNA standards were provided by the Australian Animal Health Laboratory, CSIRO Livestock Industries, Victoria, Australia (isolate AAHL 98 1810/3, from Australia), or developed by MHT (isolate CJB7, from California). Standards developed by MHT were quality controlled for equivalent standard quantification to isolate AAHL 98 1810/3 prior to use in qPCR using a protocol provided by the Hyatt laboratory. The Hyatt standard Bd DNA protocol was followed precisely, and new standards were run concurrently with Hyatt standards.","Alameda, Regulated Below Diversion Dam",Alameda,1,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,J,23,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
6613,SJK,contact,colin.dillingham@usda.gov,Rana boylii,Field,6/5/2020,June,6,qPCR,1,NULL,NULL,385639,NA,NA,SPANISH,Spanish,0,Feather,Plumas,NFR,NA,NA,NA,NA,NA,NA,M,A,42,9,NA,N,9.82E+14,NA,NULL,NULL,NA,NA
1105,AMB,contact,colin.dillingham@usda.gov,Rana boylii,Field,11/18/2016,1479427200,11,qPCR,NULL,1,NULL,333333,NA,NA,Bean Creek,Burton,0,Feather,Plumas,NFR,NA,NA,NA,NA,NA,NA,U,A,28,2,NA,NA,NULL,NA,663479,4425836,NA,NA
6536,SJK,contact,colin.dillingham@usda.gov,Rana boylii,Field,5/12/2020,May,5,qPCR,1,NULL,NULL,294910,NA,NA,SPANISH,Spanish,0,Feather,Plumas,NFR,NA,NA,NA,NA,NA,NA,M,A,39,6,NA,N,999,NA,NULL,NULL,NA,NA
3173,AMB,contact,colin.dillingham@usda.gov,Rana boylii,Field,9/26/2017,1506384000,9,qPCR,NULL,1,NULL,270657,NA,NA,Slate Creek,Slate,0,Yuba,Sierra,NNS,NA,NA,NA,NA,NA,NA,M,A,52,17,NA,NA,9.82E+14,NA,671866,4389729,NA,NA
SKS049,AJA,literature,Adams et al. 2017 Ecosphere,Rana boylii,Field,11/21/2014,1416528000,11,qPCR,1,NULL,3797.573242,227854.3945,AAHL 98 1810/3 & CJB7,"DNA standards were provided by the Australian Animal Health Laboratory, CSIRO Livestock Industries, Victoria, Australia (isolate AAHL 98 1810/3, from Australia), or developed by MHT (isolate CJB7, from California). Standards developed by MHT were quality controlled for equivalent standard quantification to isolate AAHL 98 1810/3 prior to use in qPCR using a protocol provided by the Hyatt laboratory. The Hyatt standard Bd DNA protocol was followed precisely, and new standards were run concurrently with Hyatt standards.","Alameda, Calaveras Crk to Welch Crk",Alameda,1,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,M,A,41.3,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
SKS059,AJA,literature,Adams et al. 2017 Ecosphere,Rana boylii,Field,11/21/2014,1416528000,11,qPCR,1,NULL,3797.573242,227854.3945,AAHL 98 1810/3 & CJB7,"DNA standards were provided by the Australian Animal Health Laboratory, CSIRO Livestock Industries, Victoria, Australia (isolate AAHL 98 1810/3, from Australia), or developed by MHT (isolate CJB7, from California). Standards developed by MHT were quality controlled for equivalent standard quantification to isolate AAHL 98 1810/3 prior to use in qPCR using a protocol provided by the Hyatt laboratory. The Hyatt standard Bd DNA protocol was followed precisely, and new standards were run concurrently with Hyatt standards.","Alameda, Calaveras Crk to Welch Crk",Alameda,1,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,M,A,41.9,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
SK8,AJA,literature,Adams et al. 2017 Ecosphere,Rana boylii,Field,11/7/2013,1383782400,11,qPCR,1,NULL,3696.8,221808,AAHL 98 1810/3 & CJB7,"DNA standards were provided by the Australian Animal Health Laboratory, CSIRO Livestock Industries, Victoria, Australia (isolate AAHL 98 1810/3, from Australia), or developed by MHT (isolate CJB7, from California). Standards developed by MHT were quality controlled for equivalent standard quantification to isolate AAHL 98 1810/3 prior to use in qPCR using a protocol provided by the Hyatt laboratory. The Hyatt standard Bd DNA protocol was followed precisely, and new standards were run concurrently with Hyatt standards.","Alameda, Regulated Below Diversion Dam",Alameda,1,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,J,23,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
SKS082,AJA,literature,Adams et al. 2017 Ecosphere,Rana boylii,Field,4/8/2015,1428451200,4,qPCR,1,NULL,3314.008484,198840.509,AAHL 98 1810/3 & CJB7,"DNA standards were provided by the Australian Animal Health Laboratory, CSIRO Livestock Industries, Victoria, Australia (isolate AAHL 98 1810/3, from Australia), or developed by MHT (isolate CJB7, from California). Standards developed by MHT were quality controlled for equivalent standard quantification to isolate AAHL 98 1810/3 prior to use in qPCR using a protocol provided by the Hyatt laboratory. The Hyatt standard Bd DNA protocol was followed precisely, and new standards were run concurrently with Hyatt standards.","Alameda, Regulated Below Diversion Dam",Alameda,1,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,M,A,53.7,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
SK6,AJA,literature,Adams et al. 2017 Ecosphere,Rana boylii,Field,11/7/2013,1383782400,11,qPCR,1,NULL,3176.8,190608,AAHL 98 1810/3 & CJB7,"DNA standards were provided by the Australian Animal Health Laboratory, CSIRO Livestock Industries, Victoria, Australia (isolate AAHL 98 1810/3, from Australia), or developed by MHT (isolate CJB7, from California). Standards developed by MHT were quality controlled for equivalent standard quantification to isolate AAHL 98 1810/3 prior to use in qPCR using a protocol provided by the Hyatt laboratory. The Hyatt standard Bd DNA protocol was followed precisely, and new standards were run concurrently with Hyatt standards.","Alameda, Regulated Below Diversion Dam",Alameda,1,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,J,24,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
SK5,AJA,literature,Adams et al. 2017 Ecosphere,Rana boylii,Field,11/7/2013,1383782400,11,qPCR,1,NULL,3159.2,189552,AAHL 98 1810/3 & CJB7,"DNA standards were provided by the Australian Animal Health Laboratory, CSIRO Livestock Industries, Victoria, Australia (isolate AAHL 98 1810/3, from Australia), or developed by MHT (isolate CJB7, from California). Standards developed by MHT were quality controlled for equivalent standard quantification to isolate AAHL 98 1810/3 prior to use in qPCR using a protocol provided by the Hyatt laboratory. The Hyatt standard Bd DNA protocol was followed precisely, and new standards were run concurrently with Hyatt standards.","Alameda, Regulated Below Diversion Dam",Alameda,1,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,J,24,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
SKS166,AJA,literature,Adams et al. 2017 Ecosphere,Rana boylii,Field,9/11/2015,1441929600,9,qPCR,1,NULL,3116.664,186999.84,AAHL 98 1810/3 & CJB7,"DNA standards were provided by the Australian Animal Health Laboratory, CSIRO Livestock Industries, Victoria, Australia (isolate AAHL 98 1810/3, from Australia), or developed by MHT (isolate CJB7, from California). Standards developed by MHT were quality controlled for equivalent standard quantification to isolate AAHL 98 1810/3 prior to use in qPCR using a protocol provided by the Hyatt laboratory. The Hyatt standard Bd DNA protocol was followed precisely, and new standards were run concurrently with Hyatt standards.","Alameda, Regulated Below Diversion Dam",Alameda,1,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,J,32,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
1274,amb,contact,"Kleeman, Patrick M <pkleeman@usgs.gov>",Rana boylii,Field,8/6/2020,August,8,qPCR,1,NULL,NULL,184203.254,ITS standard,NA,Fox Creek,Angelo,NA,SF Eel,Mendocino,NNC,NA,NA,using Fox Creek general lat/lon from Fox Creek Bridge,NA,NA,NA,F,NA,40,7,NA,NA,NULL,NA,446439,4399373,NA,NA
SKS091,AJA,literature,Adams et al. 2017 Ecosphere,Rana boylii,Field,5/3/2015,1430611200,5,qPCR,1,NULL,2904.008179,174240.4907,AAHL 98 1810/3 & CJB7,"DNA standards were provided by the Australian Animal Health Laboratory, CSIRO Livestock Industries, Victoria, Australia (isolate AAHL 98 1810/3, from Australia), or developed by MHT (isolate CJB7, from California). Standards developed by MHT were quality controlled for equivalent standard quantification to isolate AAHL 98 1810/3 prior to use in qPCR using a protocol provided by the Hyatt laboratory. The Hyatt standard Bd DNA protocol was followed precisely, and new standards were run concurrently with Hyatt standards.","Alameda, Regulated Below Diversion Dam",Alameda,1,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,F,A,37.7,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
SPC 2327,AJA,contact,AJA,Rana boylii,Field,4/10/2021,April,4,qPCR,1,NULL,2683.7,161020.8,ITS standard,"Knapp lab, SNARL",Dutra Creek,NA,0,San Carpoforo,Monterey,SW,NA,NA,NA,NA,NA,NA,U,J,29.4,3.5,NA,N,NULL,NA,NULL,NULL,NA,NA
4254,AMB,contact,colin.dillingham@usda.gov,Rana boylii,Field,7/5/2018,1530748800,7,qPCR,NULL,1,NULL,159508,NA,NA,Burton Gulch,Burton,0,Feather,Plumas,NFR,NA,NA,NA,NA,NA,NA,F,A,72,49,NA,N,9.82E+14,NA,663389,4424886,NA,NA
SKS025,AJA,literature,Adams et al. 2017 Ecosphere,Rana boylii,Field,10/9/2014,1412812800,10,qPCR,1,NULL,2390.211945,143412.7167,AAHL 98 1810/3 & CJB7,"DNA standards were provided by the Australian Animal Health Laboratory, CSIRO Livestock Industries, Victoria, Australia (isolate AAHL 98 1810/3, from Australia), or developed by MHT (isolate CJB7, from California). Standards developed by MHT were quality controlled for equivalent standard quantification to isolate AAHL 98 1810/3 prior to use in qPCR using a protocol provided by the Hyatt laboratory. The Hyatt standard Bd DNA protocol was followed precisely, and new standards were run concurrently with Hyatt standards.",Arroyo Hondo,Alameda,2,Alameda,Santa Clara,WC,NA,NA,NA,NA,NA,NA,U,J,23,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
6676,SJK,contact,colin.dillingham@usda.gov,Rana boylii,Field,6/2/2020,June,6,qPCR,1,NULL,NULL,136834,NA,NA,BEAN_LOWER,Bean,0,Feather,Plumas,NFR,NA,NA,NA,NA,NA,NA,M,A,57,24,NA,N,9.82E+14,NA,NULL,NULL,NA,NA
1272,amb,contact,"Kleeman, Patrick M <pkleeman@usgs.gov>",Rana boylii,Field,8/6/2020,August,8,qPCR,1,NULL,NULL,136617.871,ITS standard,NA,Fox Creek,Angelo,NA,SF Eel,Mendocino,NNC,NA,NA,using Fox Creek general lat/lon from Fox Creek Bridge,NA,NA,NA,F,NA,42,6.4,NA,NA,NULL,NA,446308,4399348,NA,NA
1086,AMB,contact,colin.dillingham@usda.gov,Rana boylii,Field,8/25/2016,1472083200,8,qPCR,NULL,1,NULL,134945,NA,NA,Burton Gulch_Trib1,Burton,0,Feather,Plumas,NFR,NA,NA,NA,NA,NA,NA,M,A,48,14,NA,NA,9.82E+14,NA,663263,4424466,NA,NA
6493,SJK,contact,colin.dillingham@usda.gov,Rana boylii,Field,4/19/2020,April,4,qPCR,1,NULL,NULL,131867,NA,NA,SPANISH,Spanish,0,Feather,Plumas,NFR,NA,NA,NA,NA,NA,NA,M,A,55,19,NA,N,9.82E+14,NA,NULL,NULL,NA,NA
1245-16,AMB,contact,colin.dillingham@usda.gov,Rana boylii,Field,8/29/2016,1472428800,8,qPCR,NULL,1,NULL,124532,NA,NA,Silver Creek,Silver,0,Feather,Plumas,NFR,NA,NA,NA,NA,NA,NA,F,A,58,26,NA,NA,9.82E+14,NA,660911,4424006,NA,NA
AAS 1147,AJA,contact,AJA,Rana boylii,Field,4/22/2021,April,4,qPCR,1,NULL,1917,115018.9,ITS standard,"Knapp lab, SNARL",Los Burros Creek,NA,0,Nacimiento,Monterey,SW,NA,NA,NA,NA,NA,NA,M,A,40.8,5.5,NA,N,NULL,NA,NULL,NULL,NA,NA
3174,AMB,contact,colin.dillingham@usda.gov,Rana boylii,Field,9/21/2017,1505952000,9,qPCR,NULL,1,NULL,109039,NA,NA,Gold Run Creek,Slate,0,Yuba,Yuba,NNS,NA,NA,NA,NA,NA,NA,M,A,47,14,NA,NA,9.82E+14,NA,671024,4387698,NA,NA
SPC 2326,AJA,contact,AJA,Rana boylii,Field,4/10/2021,April,4,qPCR,1,NULL,1637.6,98257.6,ITS standard,"Knapp lab, SNARL",Dutra Creek,NA,0,San Carpoforo,Monterey,SW,NA,NA,NA,NA,NA,NA,U,J,33.2,3.5,NA,N,NULL,NA,NULL,NULL,NA,NA
